fromPos,toPos,9:06-299002_S31_L001,2:03-2525_S26_L001,8:06-2950_S32_L001
214000,215000,12,12,13
215000,216000,6,6,7
216000,217000,4,9,10
217000,218000,13,5,6
218000,219000,0,0,0
219000,220000,18,18,10
220000,221000,16,23,12
221000,222000,3,11,3
222000,223000,4,3,6
223000,224000,11,32,31
224000,225000,14,18,12
225000,226000,12,19,18
226000,227000,12,7,9
227000,228000,4,8,23
228000,229000,3,8,5
229000,230000,6,8,12
230000,231000,5,3,5
231000,232000,2,3,4
232000,233000,4,5,10
233000,234000,5,11,15
234000,235000,16,9,15
235000,236000,9,8,9
236000,237000,2,2,4
237000,238000,4,12,14
238000,239000,2,3,3
239000,240000,2,2,6
240000,241000,5,1,6
241000,242000,8,4,4
242000,243000,11,13,12
243000,244000,3,3,7
244000,245000,3,4,2
245000,246000,5,3,4
246000,247000,1,2,2
247000,248000,3,3,3
248000,249000,3,8,9
249000,250000,4,2,0
250000,251000,4,3,6
251000,252000,6,2,0
252000,253000,11,8,1
253000,254000,3,3,1
254000,255000,2,4,1
255000,256000,1,6,0
256000,257000,9,4,6
257000,258000,8,6,10
258000,259000,7,1,7
259000,260000,5,2,3
260000,261000,1,2,1
261000,262000,9,2,2
262000,263000,6,9,8
263000,264000,0,0,0
264000,265000,0,0,0
265000,266000,0,0,0
266000,267000,0,0,0
267000,268000,0,0,0
268000,269000,7,9,11
269000,270000,5,4,5
270000,271000,19,3,17
271000,272000,11,5,10
272000,273000,2,7,6
273000,274000,0,1,7
274000,275000,5,9,6
275000,276000,6,5,7
276000,277000,7,7,5
277000,278000,5,7,6
278000,279000,2,1,7
279000,280000,1,11,14
280000,281000,2,6,4
281000,282000,7,3,7
282000,283000,5,6,3
283000,284000,4,13,5
284000,285000,5,2,9
285000,286000,6,6,4
286000,287000,10,3,9
287000,288000,4,5,7
288000,289000,1,3,3
289000,290000,0,2,1
290000,291000,2,3,1
291000,292000,3,3,2
292000,293000,7,6,4
293000,294000,3,1,3
294000,295000,13,24,23
295000,296000,3,1,2
296000,297000,8,1,1
297000,298000,5,3,11
298000,299000,7,2,4
299000,300000,2,2,1
300000,301000,0,2,2
301000,302000,0,0,0
302000,303000,0,0,0
303000,304000,0,0,0
304000,305000,0,0,0
305000,306000,0,1,1
306000,307000,0,0,0
307000,308000,0,0,0
308000,309000,0,0,0
309000,310000,0,0,0
310000,311000,0,0,0
311000,312000,1,1,0
312000,313000,0,0,0
313000,314000,0,0,0
314000,315000,0,0,0
315000,316000,0,0,0
316000,317000,0,0,0
317000,318000,8,12,8
318000,319000,6,6,10
319000,320000,3,5,3
320000,321000,2,1,9
321000,322000,7,11,7
322000,323000,9,4,8
323000,324000,12,11,6
324000,325000,5,7,6
325000,326000,1,3,3
326000,327000,4,7,5
327000,328000,1,58,6
328000,329000,3,67,5
329000,330000,13,15,10
330000,331000,7,8,12
331000,332000,6,4,12
332000,333000,6,7,6
333000,334000,6,9,12
334000,335000,5,5,5
335000,336000,11,10,10
336000,337000,14,12,13
337000,338000,13,17,16
338000,339000,7,3,7
339000,340000,4,6,9
340000,341000,9,12,7
341000,342000,10,5,9
342000,343000,9,6,4
343000,344000,6,7,7
344000,345000,12,8,9
345000,346000,11,15,22
346000,347000,12,20,16
347000,348000,25,35,26
348000,349000,2,22,22
349000,350000,9,6,8
350000,351000,12,19,8
351000,352000,7,13,8
352000,353000,14,11,12
353000,354000,23,24,27
354000,355000,3,4,3
355000,356000,0,0,0
356000,357000,0,0,0
357000,358000,0,0,4
358000,359000,0,0,0
359000,360000,0,0,0
360000,361000,0,0,0
361000,362000,4,3,2
362000,363000,5,2,5
363000,364000,0,0,0
364000,365000,0,0,0
365000,366000,0,1,0
366000,367000,0,1,0
367000,368000,21,21,20
368000,369000,30,38,51
369000,370000,11,13,11
370000,371000,9,10,8
371000,372000,17,4,15
372000,373000,20,17,4
373000,374000,12,8,9
374000,375000,13,19,13
375000,376000,3,4,4
376000,377000,1,1,2
377000,378000,9,8,8
378000,379000,5,5,7
379000,380000,15,3,14
380000,381000,9,8,6
381000,382000,10,7,10
382000,383000,4,4,6
383000,384000,2,4,2
384000,385000,8,3,5
385000,386000,12,7,13
386000,387000,13,11,6
387000,388000,12,8,8
388000,389000,10,14,9
389000,390000,6,9,7
390000,391000,2,5,3
391000,392000,4,2,5
392000,393000,5,3,4
393000,394000,8,7,9
394000,395000,8,11,9
395000,396000,0,0,0
396000,397000,1,0,2
397000,398000,1,5,1
398000,399000,2,0,4
399000,400000,10,16,14
400000,401000,5,3,3
401000,402000,8,7,8
402000,403000,3,4,3
403000,404000,7,4,2
404000,405000,5,10,12
405000,406000,12,10,17
406000,407000,18,20,24
407000,408000,2,6,9
408000,409000,2,0,2
409000,410000,24,14,21
410000,411000,0,0,0
411000,412000,0,2,4
412000,413000,0,4,4
413000,414000,1,0,0
414000,415000,1,1,1
415000,416000,0,2,3
416000,417000,6,4,6
417000,418000,4,4,6
418000,419000,3,7,5
419000,420000,0,0,0
420000,421000,3,6,5
421000,422000,2,4,3
422000,423000,3,5,5
423000,424000,6,12,10
424000,425000,10,5,7
425000,426000,5,4,5
426000,427000,2,4,6
427000,428000,2,2,6
428000,429000,2,2,4
429000,430000,1,3,5
430000,431000,6,1,6
431000,432000,4,4,6
432000,433000,5,5,1
433000,434000,3,1,0
434000,435000,1,2,2
435000,436000,5,2,4
436000,437000,5,2,2
437000,438000,5,5,6
438000,439000,5,2,8
439000,440000,0,2,6
440000,441000,2,1,6
441000,442000,2,2,3
442000,443000,7,4,4
443000,444000,3,2,3
444000,445000,3,0,2
445000,446000,1,0,2
446000,447000,4,0,1
447000,448000,4,0,8
448000,449000,1,3,2
449000,450000,6,3,5
450000,451000,11,9,4
451000,452000,14,16,2
452000,453000,22,16,15
453000,454000,6,4,6
454000,455000,0,0,0
455000,456000,0,0,0
456000,457000,0,0,0
457000,458000,0,0,0
458000,459000,0,0,0
459000,460000,0,0,0
460000,461000,0,0,0
461000,462000,3,1,0
462000,463000,6,5,3
463000,464000,8,11,12
464000,465000,35,29,25
465000,466000,4,7,8
466000,467000,1,2,0
467000,468000,4,5,5
468000,469000,5,5,5
469000,470000,2,3,3
470000,471000,3,9,6
471000,472000,6,11,4
472000,473000,2,3,2
473000,474000,3,4,7
474000,475000,4,4,3
475000,476000,7,5,4
476000,477000,5,4,7
477000,478000,5,2,7
478000,479000,5,4,5
479000,480000,2,1,2
480000,481000,7,2,8
481000,482000,5,6,3
482000,483000,9,8,3
483000,484000,1,6,7
484000,485000,0,12,16
485000,486000,0,0,0
486000,487000,1,0,0
487000,488000,5,5,3
488000,489000,8,11,10
489000,490000,22,10,28
490000,491000,36,26,32
491000,492000,10,22,8
492000,493000,8,10,7
493000,494000,7,5,8
494000,495000,8,5,3
495000,496000,3,3,3
496000,497000,6,1,6
497000,498000,4,2,3
498000,499000,4,3,5
499000,500000,6,3,5
500000,501000,10,3,7
501000,502000,3,4,6
502000,503000,5,6,7
503000,504000,1,3,4
504000,505000,1,4,5
505000,506000,3,8,11
506000,507000,8,5,7
507000,508000,6,14,6
508000,509000,24,29,17
509000,510000,16,12,22
510000,511000,33,8,33
511000,512000,8,19,13
512000,513000,14,18,19
513000,514000,29,27,23
514000,515000,15,21,30
515000,516000,16,21,21
516000,517000,2,28,36
517000,518000,0,8,5
518000,519000,11,6,3
519000,520000,5,10,7
520000,521000,2,6,7
521000,522000,2,2,4
522000,523000,1,1,0
523000,524000,1,3,4
524000,525000,6,4,8
525000,526000,16,7,17
526000,527000,3,9,12
527000,528000,0,5,3
528000,529000,2,2,2
529000,530000,6,11,10
530000,531000,8,7,6
531000,532000,3,5,5
532000,533000,6,4,6
533000,534000,11,10,6
534000,535000,7,6,9
535000,536000,9,12,14
536000,537000,9,10,8
537000,538000,15,31,34
538000,539000,1,0,9
539000,540000,5,4,5
540000,541000,6,5,8
541000,542000,13,13,12
542000,543000,34,23,21
543000,544000,3,5,3
544000,545000,8,4,4
545000,546000,8,13,14
546000,547000,7,2,4
547000,548000,4,5,5
548000,549000,3,4,4
549000,550000,2,5,5
550000,551000,5,5,6
551000,552000,6,8,7
552000,553000,0,0,0
553000,554000,0,0,0
554000,555000,0,0,0
555000,556000,0,0,0
556000,557000,0,0,0
557000,558000,0,0,0
558000,559000,0,0,0
559000,560000,0,0,0
560000,561000,0,0,0
561000,562000,0,0,0
562000,563000,0,0,0
563000,564000,3,3,3
564000,565000,0,1,4
565000,566000,5,8,8
566000,567000,3,6,4
567000,568000,4,5,3
568000,569000,10,7,8
569000,570000,3,2,1
570000,571000,6,7,2
571000,572000,4,10,5
572000,573000,11,12,10
573000,574000,3,3,3
574000,575000,3,1,3
575000,576000,9,8,8
576000,577000,3,3,4
577000,578000,5,7,4
578000,579000,4,6,4
579000,580000,14,3,5
580000,581000,8,1,2
581000,582000,6,6,6
582000,583000,3,5,5
583000,584000,8,4,6
584000,585000,11,6,5
585000,586000,35,7,19
586000,587000,6,7,6
587000,588000,4,4,10
588000,589000,7,6,10
589000,590000,6,7,14
590000,591000,3,7,20
591000,592000,22,25,20
592000,593000,11,10,17
593000,594000,0,0,7
594000,595000,7,2,12
595000,596000,10,5,13
596000,597000,8,8,7
597000,598000,3,4,5
598000,599000,4,5,13
599000,600000,4,3,5
600000,601000,4,3,3
601000,602000,9,6,9
602000,603000,6,7,1
603000,604000,1,5,1
604000,605000,6,8,5
605000,606000,3,8,5
606000,607000,6,0,5
607000,608000,4,2,6
608000,609000,3,2,3
609000,610000,6,4,5
610000,611000,7,4,5
611000,612000,4,1,3
612000,613000,6,1,5
613000,614000,0,0,0
614000,615000,0,0,0
615000,616000,1,0,0
616000,617000,4,6,2
617000,618000,5,6,7
618000,619000,2,1,1
619000,620000,4,2,4
620000,621000,3,6,2
621000,622000,5,2,6
622000,623000,2,4,3
623000,624000,8,7,5
624000,625000,5,5,6
625000,626000,0,0,0
626000,627000,0,0,0
627000,628000,1,2,1
628000,629000,2,1,1
629000,630000,1,6,6
630000,631000,1,3,4
631000,632000,1,2,1
632000,633000,4,4,5
633000,634000,8,7,10
634000,635000,21,10,11
635000,636000,8,8,2
636000,637000,5,8,11
637000,638000,4,3,5
638000,639000,9,1,8
639000,640000,7,7,3
640000,641000,6,6,1
641000,642000,5,3,5
642000,643000,3,8,7
643000,644000,5,5,5
644000,645000,6,1,0
645000,646000,17,1,1
646000,647000,10,11,2
647000,648000,7,5,6
648000,649000,1,0,1
649000,650000,4,2,1
650000,651000,4,5,4
651000,652000,7,7,6
652000,653000,5,1,1
653000,654000,5,8,7
654000,655000,6,5,6
655000,656000,5,5,1
656000,657000,4,1,2
657000,658000,5,4,4
658000,659000,3,3,2
659000,660000,11,9,3
660000,661000,3,1,3
661000,662000,8,4,8
662000,663000,3,4,7
663000,664000,5,3,10
664000,665000,5,3,5
665000,666000,6,17,7
666000,667000,14,5,2
667000,668000,6,4,6
668000,669000,1,15,0
669000,670000,1,13,1
670000,671000,10,9,9
671000,672000,3,2,2
672000,673000,3,17,5
673000,674000,4,26,2
674000,675000,7,1,3
675000,676000,9,4,10
676000,677000,20,19,16
677000,678000,8,12,2
678000,679000,7,5,6
679000,680000,17,15,16
680000,681000,7,20,19
681000,682000,19,11,10
682000,683000,12,10,7
683000,684000,2,28,0
684000,685000,9,13,10
685000,686000,6,9,7
686000,687000,1,6,4
687000,688000,2,7,6
688000,689000,5,4,2
689000,690000,4,7,7
690000,691000,7,8,7
691000,692000,15,6,15
692000,693000,14,7,13
693000,694000,7,8,6
694000,695000,5,9,7
695000,696000,4,3,5
696000,697000,6,6,6
697000,698000,4,5,4
698000,699000,8,5,9
699000,700000,4,2,4
700000,701000,4,5,4
701000,702000,0,2,0
702000,703000,0,8,1
703000,704000,0,4,0
704000,705000,0,22,0
705000,706000,1,7,2
706000,707000,0,6,0
707000,708000,2,2,0
708000,709000,3,5,1
709000,710000,6,4,0
710000,711000,3,2,0
711000,712000,9,24,26
712000,713000,9,5,7
713000,714000,5,10,26
714000,715000,6,11,12
715000,716000,6,3,5
716000,717000,6,7,7
717000,718000,3,5,11
718000,719000,8,25,25
719000,720000,24,24,24
720000,721000,10,12,6
721000,722000,13,14,13
722000,723000,7,2,3
723000,724000,0,6,3
724000,725000,0,1,0
725000,726000,2,3,5
726000,727000,2,7,8
727000,728000,1,8,4
728000,729000,1,9,9
729000,730000,7,7,5
730000,731000,9,6,6
731000,732000,4,9,7
732000,733000,10,4,11
733000,734000,7,8,7
734000,735000,10,10,18
735000,736000,4,5,5
736000,737000,2,2,2
737000,738000,10,4,2
738000,739000,10,3,4
739000,740000,3,0,2
740000,741000,6,12,6
741000,742000,10,4,10
742000,743000,6,4,7
743000,744000,5,10,8
744000,745000,6,16,4
745000,746000,4,5,6
746000,747000,5,10,4
747000,748000,3,4,6
748000,749000,30,27,28
749000,750000,10,13,12
750000,751000,12,8,12
751000,752000,4,7,8
752000,753000,7,11,7
753000,754000,7,10,5
754000,755000,2,8,3
755000,756000,14,16,5
756000,757000,40,4,25
757000,758000,0,0,5
758000,759000,3,5,4
759000,760000,4,6,1
760000,761000,11,9,5
761000,762000,13,6,7
762000,763000,3,12,7
763000,764000,2,21,17
764000,765000,0,0,0
765000,766000,0,0,0
766000,767000,0,0,0
767000,768000,5,7,3
768000,769000,7,44,5
769000,770000,17,31,11
770000,771000,4,2,0
771000,772000,8,4,5
772000,773000,3,3,2
773000,774000,5,10,9
774000,775000,13,12,11
775000,776000,9,11,15
776000,777000,11,11,19
777000,778000,12,6,4
778000,779000,0,0,0
779000,780000,0,0,0
780000,781000,0,0,0
781000,782000,0,0,0
782000,783000,0,0,0
783000,784000,0,0,0
784000,785000,0,0,0
785000,786000,14,20,22
786000,787000,23,25,19
787000,788000,7,3,3
788000,789000,16,10,16
789000,790000,26,17,22
790000,791000,5,12,11
791000,792000,9,15,6
792000,793000,4,11,8
793000,794000,7,6,7
794000,795000,4,3,4
795000,796000,7,10,10
796000,797000,2,3,3
797000,798000,4,7,28
798000,799000,5,4,2
799000,800000,2,1,1
800000,801000,4,2,6
801000,802000,11,20,10
802000,803000,23,19,26
803000,804000,7,9,5
804000,805000,5,2,2
805000,806000,6,23,21
806000,807000,6,16,18
807000,808000,6,5,6
808000,809000,12,7,8
809000,810000,10,3,10
810000,811000,6,13,13
811000,812000,5,5,5
812000,813000,7,4,4
813000,814000,8,8,7
814000,815000,10,10,7
815000,816000,2,5,5
816000,817000,7,3,8
817000,818000,6,1,5
818000,819000,3,2,3
819000,820000,0,0,0
820000,821000,1,11,10
821000,822000,1,9,10
822000,823000,6,3,4
823000,824000,5,5,4
824000,825000,2,1,2
825000,826000,8,6,9
826000,827000,1,3,2
827000,828000,2,2,2
828000,829000,3,3,6
829000,830000,1,2,1
830000,831000,1,1,1
831000,832000,0,3,2
832000,833000,1,1,4
833000,834000,4,5,6
834000,835000,3,7,3
835000,836000,4,36,38
836000,837000,16,13,4
837000,838000,8,2,28
838000,839000,3,29,22
839000,840000,9,23,5
840000,841000,3,31,9
841000,842000,0,19,7
842000,843000,0,4,10
843000,844000,12,18,12
844000,845000,3,5,6
845000,846000,3,7,5
846000,847000,3,6,8
847000,848000,3,5,7
848000,849000,2,6,11
849000,850000,5,9,8
850000,851000,4,11,7
851000,852000,8,5,7
852000,853000,2,4,6
853000,854000,8,10,10
854000,855000,2,2,6
855000,856000,8,5,6
856000,857000,5,1,5
857000,858000,1,2,1
858000,859000,2,2,4
859000,860000,7,5,4
860000,861000,4,3,4
861000,862000,7,9,11
862000,863000,8,5,7
863000,864000,7,4,4
864000,865000,4,8,5
865000,866000,3,10,38
866000,867000,7,2,30
867000,868000,6,7,4
868000,869000,21,22,49
869000,870000,44,41,45
870000,871000,0,0,0
871000,872000,0,0,0
872000,873000,0,0,0
873000,874000,0,0,0
874000,875000,23,29,28
875000,876000,13,14,15
876000,877000,6,2,5
877000,878000,1,5,2
878000,879000,0,0,0
879000,880000,0,0,0
880000,881000,0,0,0
881000,882000,0,0,0
882000,883000,0,0,0
883000,884000,1,12,11
884000,885000,3,11,8
885000,886000,1,23,31
886000,887000,3,27,3
887000,888000,4,6,4
888000,889000,12,11,12
889000,890000,17,10,4
890000,891000,15,19,3
891000,892000,10,12,11
892000,893000,3,5,4
893000,894000,12,13,5
894000,895000,0,3,21
895000,896000,4,5,12
896000,897000,5,5,4
897000,898000,2,5,5
898000,899000,3,3,6
899000,900000,2,2,4
900000,901000,2,1,2
901000,902000,5,3,7
902000,903000,1,4,3
903000,904000,4,7,1
904000,905000,6,10,7
905000,906000,7,9,7
906000,907000,1,5,3
907000,908000,2,4,11
908000,909000,1,2,2
909000,910000,4,4,3
910000,911000,7,7,7
911000,912000,4,6,7
912000,913000,3,3,4
913000,914000,8,5,5
914000,915000,4,3,4
915000,916000,1,4,2
916000,917000,6,7,6
917000,918000,5,3,5
918000,919000,3,2,4
919000,920000,7,4,7
920000,921000,5,6,2
921000,922000,1,2,2
922000,923000,0,1,1
923000,924000,3,1,4
924000,925000,1,2,1
925000,926000,2,2,5
926000,927000,1,3,6
927000,928000,7,11,12
928000,929000,1,1,3
929000,930000,0,2,2
930000,931000,7,7,7
931000,932000,2,5,1
932000,933000,4,3,2
933000,934000,1,3,3
934000,935000,1,2,1
935000,936000,6,4,4
936000,937000,2,2,1
937000,938000,12,2,25
938000,939000,3,4,3
939000,940000,2,3,3
940000,941000,3,2,4
941000,942000,4,1,3
942000,943000,5,5,5
943000,944000,6,6,5
944000,945000,7,5,12
945000,946000,3,9,9
946000,947000,7,5,8
947000,948000,2,4,5
948000,949000,7,6,6
949000,950000,4,5,5
950000,951000,2,1,3
951000,952000,6,3,2
952000,953000,2,4,3
953000,954000,0,7,3
954000,955000,2,2,2
955000,956000,2,3,5
956000,957000,2,3,5
957000,958000,10,8,8
958000,959000,3,4,3
959000,960000,8,3,2
960000,961000,10,5,7
961000,962000,9,6,7
962000,963000,3,5,2
963000,964000,6,9,7
964000,965000,10,8,7
965000,966000,0,0,0
966000,967000,0,0,0
967000,968000,0,0,0
968000,969000,0,0,0
969000,970000,0,0,0
970000,971000,0,0,0
971000,972000,0,0,0
972000,973000,0,0,0
973000,974000,0,0,0
974000,975000,0,0,0
975000,976000,0,0,1
976000,977000,1,6,6
977000,978000,5,3,4
978000,979000,6,1,1
979000,980000,7,3,1
980000,981000,10,7,6
981000,982000,8,6,1
982000,983000,1,0,0
983000,984000,6,0,0
984000,985000,5,2,2
985000,986000,3,9,11
986000,987000,4,7,15
987000,988000,20,24,20
988000,989000,5,5,4
989000,990000,1,2,0
990000,991000,4,3,4
991000,992000,2,4,8
992000,993000,2,3,2
993000,994000,5,5,3
994000,995000,3,5,5
995000,996000,0,0,0
996000,997000,3,4,2
997000,998000,2,2,3
998000,999000,3,2,3
999000,1000000,4,1,3
1000000,1001000,5,3,2
1001000,1002000,0,1,2
1002000,1003000,2,1,1
1003000,1004000,2,1,0
1004000,1005000,2,3,4
1005000,1006000,2,3,7
1006000,1007000,2,6,5
1007000,1008000,18,16,22
1008000,1009000,6,6,8
1009000,1010000,9,6,12
1010000,1011000,4,6,4
1011000,1012000,4,5,5
1012000,1013000,4,7,8
1013000,1014000,1,2,3
1014000,1015000,1,1,0
1015000,1016000,1,9,8
1016000,1017000,6,22,25
1017000,1018000,6,9,9
1018000,1019000,0,0,0
1019000,1020000,1,2,6
1020000,1021000,3,1,2
1021000,1022000,3,8,11
1022000,1023000,8,5,8
1023000,1024000,6,5,3
1024000,1025000,8,6,5
1025000,1026000,2,10,4
1026000,1027000,9,13,12
1027000,1028000,4,4,3
1028000,1029000,10,7,9
1029000,1030000,2,2,4
1030000,1031000,6,5,7
1031000,1032000,5,7,5
1032000,1033000,3,2,4
1033000,1034000,1,2,0
1034000,1035000,0,0,0
1035000,1036000,1,5,5
1036000,1037000,1,1,4
1037000,1038000,5,5,2
1038000,1039000,1,2,1
1039000,1040000,3,6,12
1040000,1041000,12,14,14
1041000,1042000,8,8,9
1042000,1043000,1,2,1
1043000,1044000,1,1,2
1044000,1045000,0,0,0
1045000,1046000,1,1,3
1046000,1047000,2,1,4
1047000,1048000,4,5,5
1048000,1049000,4,4,4
1049000,1050000,4,6,5
1050000,1051000,6,12,6
1051000,1052000,3,4,0
1052000,1053000,4,4,5
1053000,1054000,5,5,7
1054000,1055000,6,6,5
1055000,1056000,7,8,5
1056000,1057000,2,7,5
1057000,1058000,3,4,6
1058000,1059000,8,7,6
1059000,1060000,4,9,3
1060000,1061000,4,6,4
1061000,1062000,9,8,2
1062000,1063000,11,7,8
1063000,1064000,6,8,5
1064000,1065000,10,11,14
1065000,1066000,4,3,3
1066000,1067000,2,3,6
1067000,1068000,0,0,0
1068000,1069000,1,9,0
1069000,1070000,9,10,0
1070000,1071000,31,1,0
1071000,1072000,6,3,2
1072000,1073000,5,3,2
1073000,1074000,8,1,0
1074000,1075000,5,6,1
1075000,1076000,8,0,0
1076000,1077000,9,3,0
1077000,1078000,4,3,1
1078000,1079000,31,1,25
1079000,1080000,8,8,6
1080000,1081000,1,3,11
1081000,1082000,1,2,6
1082000,1083000,6,7,9
1083000,1084000,5,6,1
1084000,1085000,8,61,10
1085000,1086000,4,30,8
1086000,1087000,3,4,6
1087000,1088000,0,2,0
1088000,1089000,3,5,5
1089000,1090000,14,6,6
1090000,1091000,4,5,12
1091000,1092000,0,0,0
1092000,1093000,0,0,0
1093000,1094000,0,0,0
1094000,1095000,0,1,0
1095000,1096000,3,1,4
1096000,1097000,1,0,0
1097000,1098000,1,1,1
1098000,1099000,11,5,13
1099000,1100000,6,2,33
1100000,1101000,3,3,10
1101000,1102000,6,7,5
1102000,1103000,1,6,6
1103000,1104000,4,4,8
1104000,1105000,7,7,4
1105000,1106000,2,40,2
1106000,1107000,13,12,4
1107000,1108000,2,4,9
1108000,1109000,18,6,11
1109000,1110000,7,9,7
1110000,1111000,1,28,3
1111000,1112000,3,4,5
1112000,1113000,4,4,5
1113000,1114000,4,7,6
1114000,1115000,8,10,10
1115000,1116000,9,9,7
1116000,1117000,6,7,6
1117000,1118000,2,6,4
1118000,1119000,4,7,6
1119000,1120000,5,6,3
1120000,1121000,5,6,2
1121000,1122000,17,11,34
1122000,1123000,10,7,66
1123000,1124000,8,3,77
1124000,1125000,1,2,3
1125000,1126000,2,1,4
1126000,1127000,5,5,4
1127000,1128000,4,7,4
1128000,1129000,6,3,3
1129000,1130000,1,2,2
1130000,1131000,5,4,4
