fromPos,toPos,03-2454_S25_L001,03-2525_S26_L001,03-2592_S27_L001,06-283016_S28_L001,06-284001_S29_L001,TG77214_S5_L001,TG77218_S6_L001,TG77222_S7_L001,TG77226_S8_L001
32500,33500,1,1,3,12,12,0,0,0,1
33000,34000,5,5,14,15,16,0,0,0,5
33500,34500,7,5,20,5,6,0,0,0,7
34000,35000,4,1,16,2,2,0,0,0,4
34500,35500,2,8,8,2,2,0,0,0,2
35000,36000,4,18,9,11,10,0,0,0,4
35500,36500,5,22,12,22,21,0,0,0,5
36000,37000,7,26,14,24,25,0,0,0,7
36500,37500,10,22,17,19,20,0,0,0,10
37000,38000,11,13,9,11,11,0,0,0,11
37500,38500,8,5,5,6,6,0,0,0,8
38000,39000,5,8,8,7,7,0,0,0,5
38500,39500,11,10,6,6,6,0,0,0,11
39000,40000,8,3,2,3,2,0,0,0,8
39500,40500,2,2,2,2,2,0,0,0,2
40000,41000,3,3,4,1,3,0,0,0,3
40500,41500,6,8,10,3,7,0,0,0,6
41000,42000,12,23,13,17,11,0,0,0,12
41500,42500,21,29,13,27,9,0,0,0,21
42000,43000,22,21,12,19,13,0,0,0,22
42500,43500,22,24,20,17,26,0,0,0,22
43000,44000,35,33,31,11,20,0,0,0,35
43500,44500,31,21,19,4,6,0,0,0,31
44000,45000,10,4,4,4,3,0,0,0,10
44500,45500,10,4,4,4,3,0,0,0,10
45000,46000,20,10,11,7,8,0,0,0,20
45500,46500,24,21,17,15,22,0,0,0,24
46000,47000,18,18,15,20,24,0,0,0,18
46500,47500,5,4,6,9,7,0,0,0,5
47000,48000,1,1,1,1,0,0,0,0,1
47500,48500,3,3,4,3,3,0,0,0,3
48000,49000,4,5,6,6,4,0,0,0,4
48500,49500,4,6,5,6,3,0,0,0,4
49000,50000,4,7,6,5,4,0,0,0,4
49500,50500,5,6,7,7,4,0,0,0,5
50000,51000,5,2,7,7,3,0,0,0,5
50500,51500,2,0,8,6,1,0,0,0,2
51000,52000,2,2,6,7,2,0,0,0,2
51500,52500,6,3,7,8,9,0,0,0,6
52000,53000,14,2,12,20,16,0,0,0,13
52500,53500,22,23,19,21,20,0,0,0,21
53000,54000,13,23,13,6,13,0,0,0,13
53500,54500,5,4,1,2,6,0,0,0,5
54000,55000,4,6,4,4,6,0,0,0,4
54500,55500,2,7,10,7,8,0,0,0,2
55000,56000,5,7,6,4,9,0,0,0,5
55500,56500,6,7,4,2,5,0,0,0,6
56000,57000,6,6,9,6,6,0,0,0,6
56500,57500,5,4,8,4,4,0,0,0,5
57000,58000,7,4,6,2,2,0,0,0,7
57500,58500,6,4,4,4,3,0,0,0,6
58000,59000,4,4,3,4,3,0,0,0,4
58500,59500,6,6,6,6,6,0,0,0,6
59000,60000,3,5,4,4,4,0,0,0,3
59500,60500,0,1,2,1,1,0,0,0,0
60000,61000,0,1,4,2,2,0,0,0,0
60500,61500,3,2,3,1,1,0,0,0,3
61000,62000,3,1,1,1,1,0,0,0,3
61500,62500,0,0,1,2,1,0,0,0,0
62000,63000,0,1,1,1,0,0,0,0,0
62500,63500,2,3,2,2,1,0,0,0,2
63000,64000,3,4,4,4,3,0,0,0,3
63500,64500,2,2,2,3,2,0,0,0,2
64000,65000,1,0,0,1,2,0,0,0,1
64500,65500,1,0,0,0,2,0,0,0,1
65000,66000,3,4,3,2,1,0,0,0,3
65500,66500,2,4,3,2,2,0,0,0,2
66000,67000,0,0,0,0,1,0,0,0,0
66500,67500,1,1,2,2,1,0,0,0,1
67000,68000,2,3,4,3,2,0,0,0,2
67500,68500,1,2,2,1,1,0,0,0,1
68000,69000,2,5,3,2,2,0,0,0,2
68500,69500,1,4,2,1,2,0,0,0,1
69000,70000,2,2,3,2,3,0,0,0,2
69500,70500,3,2,2,3,2,0,0,0,3
70000,71000,1,1,0,1,0,0,0,0,1
70500,71500,1,1,0,0,0,0,0,0,1
71000,72000,1,1,1,2,1,0,0,0,1
71500,72500,1,1,2,2,1,0,0,0,1
72000,73000,1,1,1,1,1,0,0,0,1
72500,73500,3,9,9,7,7,0,0,0,3
73000,74000,4,10,10,7,7,0,0,0,4
73500,74500,1,1,1,1,1,0,0,0,1
74000,75000,1,1,1,1,1,0,0,0,1
74500,75500,1,1,1,1,1,0,0,0,1
75000,76000,1,1,1,1,1,0,0,0,1
75500,76500,1,1,1,1,1,0,0,0,1
76000,77000,1,1,1,1,1,0,0,0,1
76500,77500,1,1,1,1,1,0,0,0,1
77000,78000,1,1,1,1,1,0,0,0,1
77500,78500,1,1,1,1,1,0,0,0,1
78000,79000,1,1,2,1,1,0,0,0,1
78500,79500,1,0,1,0,0,0,0,0,1
79000,80000,4,3,3,5,5,0,0,0,4
79500,80500,10,7,10,11,11,0,0,0,10
80000,81000,12,6,10,11,11,0,0,0,11
80500,81500,13,13,6,11,11,0,0,0,12
81000,82000,10,12,6,6,6,0,0,0,10
81500,82500,3,6,3,3,3,0,0,0,3
82000,83000,3,6,2,4,4,0,0,0,3
82500,83500,2,4,2,1,1,0,0,0,2
83000,84000,3,6,5,2,2,0,0,0,3
83500,84500,14,8,8,5,6,0,0,0,14
84000,85000,11,5,5,3,8,0,0,0,11
84500,85500,1,1,3,0,4,0,0,0,1
85000,86000,3,3,3,1,1,0,0,0,3
85500,86500,9,8,8,5,6,0,0,0,9
86000,87000,12,11,11,7,10,0,0,0,12
86500,87500,6,7,7,5,10,0,0,0,6
87000,88000,3,4,4,5,8,0,0,0,3
87500,88500,3,4,3,4,4,0,0,0,3
88000,89000,1,2,1,1,3,0,0,0,1
88500,89500,9,12,10,12,14,0,0,0,9
89000,90000,10,17,16,14,18,0,0,0,10
89500,90500,5,9,9,8,10,0,0,0,5
90000,91000,4,4,3,6,4,0,0,0,4
90500,91500,4,4,3,6,4,0,0,0,4
91000,92000,4,4,3,6,4,0,0,0,4
91500,92500,4,4,3,6,4,0,0,0,4
92000,93000,4,4,3,6,4,0,0,0,4
92500,93500,4,4,3,6,4,0,0,0,4
93000,94000,4,4,3,6,4,0,0,0,4
93500,94500,4,4,3,6,4,0,0,0,4
94000,95000,4,4,3,6,4,0,0,0,4
94500,95500,4,4,3,6,4,0,0,0,4
95000,96000,4,4,3,6,4,0,0,0,4
95500,96500,4,4,3,6,4,0,0,0,4
96000,97000,4,4,3,6,4,0,0,0,4
96500,97500,4,4,3,6,4,0,0,0,4
97000,98000,4,4,3,6,4,0,0,0,4
97500,98500,4,4,3,6,4,0,0,0,4
98000,99000,4,4,3,6,4,0,0,0,4
98500,99500,4,4,3,6,4,0,0,0,4
99000,100000,4,4,3,6,4,0,0,0,4
99500,100500,4,4,3,6,4,0,0,0,4
100000,101000,4,4,3,6,4,0,0,0,4
100500,101500,4,4,3,6,4,0,0,0,4
101000,102000,4,4,3,6,4,0,0,0,4
101500,102500,4,4,3,6,4,0,0,0,4
102000,103000,4,4,3,6,4,0,0,0,4
102500,103500,4,4,3,6,4,0,0,0,4
103000,104000,4,4,3,6,4,0,0,0,4
103500,104500,4,4,3,6,4,0,0,0,4
104000,105000,4,4,3,6,4,0,0,0,4
104500,105500,4,4,3,6,4,0,0,0,4
105000,106000,4,4,3,6,4,0,0,0,4
105500,106500,4,4,3,6,4,0,0,0,4
106000,107000,7,6,8,9,6,0,0,0,7
106500,107500,7,9,11,6,9,0,0,0,7
107000,108000,9,16,17,11,16,0,0,0,9
107500,108500,13,21,17,15,21,0,0,0,13
108000,109000,11,16,9,11,13,0,0,0,11
108500,109500,5,6,5,6,3,0,0,0,5
109000,110000,2,2,2,2,2,0,0,0,2
109500,110500,2,2,2,2,2,0,0,0,2
110000,111000,2,2,2,2,2,0,0,0,2
110500,111500,2,2,2,2,2,0,0,0,2
111000,112000,2,2,2,2,2,0,0,0,2
111500,112500,2,2,2,2,2,0,0,0,2
112000,113000,2,2,2,2,2,0,0,0,2
112500,113500,2,2,2,2,2,0,0,0,2
113000,114000,2,2,2,2,2,0,0,0,2
113500,114500,2,2,2,2,2,0,0,0,2
114000,115000,2,2,2,2,2,0,0,0,2
114500,115500,2,2,2,2,2,0,0,0,2
115000,116000,2,2,2,2,2,0,0,0,2
115500,116500,2,2,2,2,2,0,0,0,2
116000,117000,2,2,2,2,2,0,0,0,2
116500,117500,2,2,2,2,2,0,0,0,2
117000,118000,2,2,2,2,2,0,0,0,2
117500,118500,2,2,2,2,2,0,0,0,2
118000,119000,2,2,2,2,2,0,0,0,2
118500,119500,2,2,2,2,2,0,0,0,2
119000,120000,2,2,2,2,2,0,0,0,2
119500,120500,2,2,2,2,2,0,0,0,2
120000,121000,2,2,2,2,2,0,0,0,2
120500,121500,2,2,2,2,2,0,0,0,2
121000,122000,2,2,2,2,2,0,0,0,2
121500,122500,2,2,2,2,2,0,0,0,2
122000,123000,2,2,2,2,2,0,0,0,2
122500,123500,2,2,2,2,2,0,0,0,2
123000,124000,2,2,2,2,2,0,0,0,2
123500,124500,2,2,2,2,2,0,0,0,2
124000,125000,2,2,2,2,2,0,0,0,2
124500,125500,12,14,12,13,11,0,0,0,12
125000,126000,19,17,15,16,15,0,0,0,19
125500,126500,14,8,7,8,8,0,0,0,14
126000,127000,10,6,3,5,3,0,0,0,10
126500,127500,13,9,5,8,6,0,0,0,13
127000,128000,12,9,5,10,6,0,0,0,12
127500,128500,5,3,2,5,2,0,0,0,5
128000,129000,4,6,3,5,2,0,0,0,4
128500,129500,4,8,5,6,4,1,1,1,4
129000,130000,1,3,4,3,5,1,1,1,1
129500,130500,3,1,4,4,4,0,0,0,3
130000,131000,4,2,6,5,5,0,0,0,4
130500,131500,4,5,3,5,4,0,0,0,4
131000,132000,6,8,2,5,3,0,0,0,6
131500,132500,6,8,3,3,5,0,0,0,6
132000,133000,4,3,1,1,4,0,0,0,4
132500,133500,8,4,4,5,7,0,0,0,8
133000,134000,12,9,5,11,9,0,0,0,12
133500,134500,7,6,2,8,7,0,0,0,7
134000,135000,6,5,5,3,9,0,0,0,6
134500,135500,8,6,8,4,7,0,0,0,8
135000,136000,4,3,4,6,4,0,0,0,4
135500,136500,1,2,2,3,4,0,0,0,1
136000,137000,3,1,3,3,2,0,0,0,3
136500,137500,5,3,5,7,3,0,0,0,5
137000,138000,5,5,7,9,5,0,0,0,5
137500,138500,5,6,7,12,7,0,0,0,5
138000,139000,5,6,6,7,7,0,0,0,5
138500,139500,7,4,5,2,4,0,0,0,7
139000,140000,8,4,5,4,4,0,0,0,8
139500,140500,4,3,6,4,4,0,0,0,4
140000,141000,3,4,8,8,5,0,0,0,3
140500,141500,4,7,7,8,8,0,0,0,4
141000,142000,4,6,7,6,8,0,0,0,4
141500,142500,4,6,7,8,5,0,0,0,4
142000,143000,4,6,10,7,3,0,0,0,4
142500,143500,2,2,19,15,2,0,0,0,2
143000,144000,9,9,19,22,4,0,0,0,9
143500,144500,13,13,8,14,9,0,0,0,13
144000,145000,6,6,5,8,10,0,0,0,6
144500,145500,2,2,3,5,6,0,0,0,2
145000,146000,2,3,2,3,4,0,0,0,2
145500,146500,2,3,4,2,2,0,0,0,2
146000,147000,3,7,8,4,6,0,0,0,3
146500,147500,10,12,10,9,11,0,0,0,10
147000,148000,9,6,8,7,8,0,0,0,9
147500,148500,5,5,9,7,6,0,0,0,5
148000,149000,10,12,16,9,46,0,0,0,10
148500,149500,12,14,16,10,63,0,0,0,12
149000,150000,9,13,9,13,28,0,0,0,9
149500,150500,12,11,10,11,17,0,0,0,12
150000,151000,12,8,10,7,17,0,0,0,12
150500,151500,8,7,8,7,19,0,0,0,8
151000,152000,7,4,8,5,18,0,0,0,7
151500,152500,10,4,6,6,14,0,0,0,10
152000,153000,18,8,11,11,21,0,0,0,18
152500,153500,12,6,9,7,15,0,0,0,12
153000,154000,12,6,9,7,15,0,0,0,12
153500,154500,12,6,9,7,15,0,0,0,12
154000,155000,22,8,12,12,21,0,0,0,22
154500,155500,21,10,12,11,19,0,0,0,21
155000,156000,12,9,11,7,14,0,0,0,12
155500,156500,9,9,7,8,9,0,0,0,9
156000,157000,11,13,8,10,12,0,0,0,11
156500,157500,12,9,11,12,12,0,0,0,12
157000,158000,25,18,21,11,22,0,0,0,25
157500,158500,29,26,15,13,26,1,1,1,29
158000,159000,29,21,21,25,27,1,1,1,29
158500,159500,19,17,25,24,25,0,0,0,19
159000,160000,4,10,7,45,12,0,0,0,5
159500,160500,10,14,9,68,27,0,0,0,11
160000,161000,16,20,9,39,44,0,0,0,16
160500,161500,11,9,6,8,26,0,0,0,11
161000,162000,7,4,8,4,8,0,0,0,7
161500,162500,14,9,9,8,10,0,0,0,14
162000,163000,14,11,6,15,16,0,0,0,14
162500,163500,3,10,2,16,11,0,0,0,3
163000,164000,0,11,5,7,5,1,1,1,0
163500,164500,1,28,25,12,4,1,1,1,1
164000,165000,3,26,26,14,7,0,0,0,3
164500,165500,4,9,9,6,6,0,0,0,4
165000,166000,4,5,5,3,4,0,0,0,4
165500,166500,3,1,2,1,2,0,0,0,3
166000,167000,1,1,2,1,0,0,0,0,3
166500,167500,3,5,4,3,2,0,0,0,5
167000,168000,7,10,8,6,5,0,0,0,7
167500,168500,5,9,8,5,5,0,0,0,5
168000,169000,1,7,6,5,5,0,0,0,1
168500,169500,4,8,6,5,7,0,0,0,4
169000,170000,14,15,13,13,12,0,0,0,14
169500,170500,13,23,16,27,15,0,0,0,13
170000,171000,6,14,8,24,11,0,0,0,7
170500,171500,15,13,9,14,11,0,0,0,16
171000,172000,20,13,15,8,17,0,0,0,20
171500,172500,13,6,12,11,13,0,0,0,13
172000,173000,13,12,11,18,10,0,0,0,13
172500,173500,15,12,9,26,10,0,0,0,15
173000,174000,8,4,4,20,3,0,0,0,8
173500,174500,5,6,4,5,4,0,0,0,5
174000,175000,8,9,4,5,7,0,0,0,9
174500,175500,5,4,2,3,4,0,0,0,6
175000,176000,1,1,0,0,1,0,0,0,1
175500,176500,1,1,0,0,1,0,0,0,1
176000,177000,1,1,0,0,1,0,0,0,1
176500,177500,1,1,0,0,1,0,0,0,1
177000,178000,1,1,0,0,1,0,0,0,1
177500,178500,2,7,1,1,2,0,0,0,2
178000,179000,3,7,3,2,3,0,0,0,3
178500,179500,2,4,3,2,6,0,0,0,2
179000,180000,3,6,4,4,6,0,0,0,3
179500,180500,9,6,7,9,7,0,0,0,9
180000,181000,11,8,12,11,11,0,0,0,11
180500,181500,6,7,10,6,8,0,0,0,6
181000,182000,3,5,4,5,4,0,0,0,3
181500,182500,9,6,9,5,4,0,0,0,9
182000,183000,10,4,16,4,3,0,0,0,10
182500,183500,5,4,11,4,3,0,0,0,5
183000,184000,5,6,4,1,4,0,0,0,5
183500,184500,9,9,6,4,6,0,0,0,9
184000,185000,8,8,6,6,7,0,0,0,8
184500,185500,5,9,5,5,6,0,0,0,5
185000,186000,8,11,8,8,7,0,0,0,8
185500,186500,10,7,8,8,6,0,0,0,10
186000,187000,6,3,3,3,3,0,0,0,6
186500,187500,11,9,5,4,5,0,0,0,11
187000,188000,15,13,7,6,7,0,0,0,15
187500,188500,8,7,7,7,12,0,0,0,8
188000,189000,3,3,7,7,14,0,0,0,3
188500,189500,1,3,2,2,6,0,0,0,1
189000,190000,2,4,1,1,2,0,0,0,2
189500,190500,4,3,4,4,1,0,0,0,4
190000,191000,5,7,9,6,2,0,0,0,5
190500,191500,3,7,9,5,4,0,0,0,3
191000,192000,11,16,9,16,15,0,0,0,11
191500,192500,14,16,10,18,16,0,0,0,14
192000,193000,9,9,11,11,10,0,0,0,9
192500,193500,8,8,8,8,10,0,0,0,8
193000,194000,5,1,4,3,5,0,0,0,5
193500,194500,3,1,4,3,3,0,0,0,3
194000,195000,5,6,2,4,2,0,0,0,5
194500,195500,5,9,3,4,3,0,0,0,5
195000,196000,3,9,7,6,11,0,0,0,3
195500,196500,3,10,9,9,13,0,0,0,3
196000,197000,1,5,6,6,5,0,0,0,1
196500,197500,2,0,3,4,4,0,0,0,2
197000,198000,2,1,2,3,3,0,0,0,2
197500,198500,0,1,2,3,1,0,0,0,0
198000,199000,1,1,2,3,3,0,0,0,1
198500,199500,1,3,1,1,2,0,0,0,1
199000,200000,1,4,3,1,0,0,0,0,1
199500,200500,1,4,5,1,0,0,0,0,1
200000,201000,1,10,10,5,9,0,0,0,1
200500,201500,2,9,10,7,13,0,0,0,1
201000,202000,11,11,14,12,15,0,0,0,10
201500,202500,15,15,17,14,16,0,0,0,15
202000,203000,10,14,14,9,14,0,0,0,10
202500,203500,10,17,15,8,16,0,0,0,10
203000,204000,9,12,10,7,12,0,0,0,9
203500,204500,4,5,6,6,7,0,0,0,4
204000,205000,2,4,4,4,3,0,0,0,2
204500,205500,4,6,4,5,2,0,0,0,4
205000,206000,5,8,8,5,7,0,0,0,5
205500,206500,4,6,8,6,8,0,0,0,4
206000,207000,1,3,2,4,2,0,0,0,1
206500,207500,4,12,4,3,3,0,0,0,4
207000,208000,5,18,6,5,5,0,0,0,5
207500,208500,2,10,3,4,3,0,0,0,2
208000,209000,5,3,3,6,3,0,0,0,5
208500,209500,6,3,3,5,3,0,0,0,6
209000,210000,5,2,2,2,2,0,0,0,5
209500,210500,4,2,2,3,2,0,0,0,4
210000,211000,2,2,2,3,5,0,0,0,2
210500,211500,3,2,2,2,6,0,0,0,3
211000,212000,2,1,1,2,2,0,0,0,2
211500,212500,0,7,6,6,1,0,0,0,0
212000,213000,0,7,6,5,1,0,0,0,0
212500,213500,0,7,6,5,1,0,0,0,0
213000,214000,0,8,7,7,2,0,0,0,0
213500,214500,8,9,9,5,5,0,0,0,8
214000,215000,12,12,13,8,7,0,0,0,12
214500,215500,6,6,7,10,6,0,0,0,6
215000,216000,6,6,7,12,7,0,0,0,6
215500,216500,6,8,9,14,9,0,0,0,6
216000,217000,4,9,10,20,9,0,0,0,4
216500,217500,5,9,11,15,7,0,0,0,5
217000,218000,13,5,6,12,12,0,0,0,13
217500,218500,10,1,1,10,9,0,0,0,10
218000,219000,10,1,1,10,9,0,0,0,10
218500,219500,17,7,4,13,12,0,0,0,17
219000,220000,18,18,10,11,8,0,0,0,18
219500,220500,17,16,11,9,9,0,0,0,17
220000,221000,16,23,12,10,13,0,0,0,16
220500,221500,12,27,10,13,13,0,0,0,12
221000,222000,4,11,3,9,9,0,0,0,3
221500,222500,4,3,3,5,6,0,0,0,3
222000,223000,4,4,7,4,4,0,0,0,4
222500,223500,2,15,14,15,11,0,0,0,2
223000,224000,11,32,31,32,30,0,0,0,11
223500,224500,21,34,30,34,30,0,0,0,21
224000,225000,14,18,12,18,11,0,0,0,14
224500,225500,12,16,13,15,8,0,0,0,12
225000,226000,12,19,18,20,13,1,0,1,12
225500,226500,9,10,13,12,11,1,0,1,9
226000,227000,12,7,9,6,9,0,0,0,12
226500,227500,11,7,8,7,10,0,0,0,11
227000,228000,4,8,23,12,4,0,0,0,4
227500,228500,2,7,20,13,2,0,0,0,2
228000,229000,3,8,5,8,5,0,0,0,3
228500,229500,5,10,9,9,8,0,0,0,5
229000,230000,6,8,12,12,7,0,0,0,6
229500,230500,4,5,10,9,2,0,0,0,4
230000,231000,5,3,6,7,3,0,0,0,5
230500,231500,4,3,3,5,4,0,0,0,4
231000,232000,2,3,4,2,2,0,0,0,2
231500,232500,1,2,5,1,2,0,0,0,1
232000,233000,4,5,10,4,6,0,0,0,4
232500,233500,6,9,16,7,6,0,0,0,6
233000,234000,5,11,15,10,9,0,0,0,5
233500,234500,11,15,14,14,15,0,0,0,11
234000,235000,16,9,15,8,14,0,0,0,16
234500,235500,15,7,16,7,14,0,0,0,15
235000,236000,9,8,10,8,8,0,0,0,9
235500,236500,3,3,5,2,2,0,0,0,3
236000,237000,2,2,4,1,2,0,0,0,2
236500,237500,3,6,7,3,7,0,0,0,3
237000,238000,4,12,14,5,6,0,0,0,4
237500,238500,3,7,9,5,1,0,0,0,3
238000,239000,2,3,3,4,2,0,0,0,2
238500,239500,1,3,6,1,1,0,0,0,1
239000,240000,2,2,6,0,3,0,0,0,2
239500,240500,5,3,4,0,4,0,0,0,5
240000,241000,5,1,6,0,4,0,0,0,5
240500,241500,4,2,5,1,4,0,0,0,4
241000,242000,8,4,4,4,2,0,0,0,8
241500,242500,7,5,5,6,1,0,0,0,7
242000,243000,11,13,12,12,0,0,0,0,11
242500,243500,11,11,14,11,1,0,0,0,11
243000,244000,3,3,7,4,2,0,0,0,3
243500,244500,3,5,5,3,2,0,0,0,3
244000,245000,3,4,2,1,2,0,0,0,4
244500,245500,4,2,2,1,3,0,0,0,5
245000,246000,5,3,4,5,3,0,0,0,5
245500,246500,3,3,2,4,1,0,0,0,3
246000,247000,1,2,2,1,1,0,0,0,1
246500,247500,2,1,2,2,2,0,0,0,2
247000,248000,3,3,3,3,3,0,0,0,3
247500,248500,3,9,8,7,7,0,0,0,3
248000,249000,3,8,9,7,7,0,0,0,3
248500,249500,4,4,4,2,4,0,0,0,4
249000,250000,4,2,0,1,3,0,0,0,4
249500,250500,4,1,3,3,3,0,0,0,4
250000,251000,4,3,6,4,4,0,0,0,4
250500,251500,3,2,3,2,3,0,0,0,3
251000,252000,6,2,0,3,4,0,0,0,6
251500,252500,9,5,0,4,7,0,0,0,9
252000,253000,11,8,1,8,8,0,0,0,11
252500,253500,8,5,2,7,5,0,0,0,8
253000,254000,3,3,1,3,5,0,0,0,3
253500,254500,5,6,1,4,6,0,0,0,4
254000,255000,3,4,1,5,6,0,0,0,2
254500,255500,1,7,0,7,8,0,0,0,1
255000,256000,1,6,0,3,4,0,0,0,1
255500,256500,2,2,2,4,3,0,0,0,2
256000,257000,9,4,6,15,12,0,0,0,9
256500,257500,10,6,11,17,16,0,0,0,10
257000,258000,8,6,10,7,9,0,0,0,8
257500,258500,10,2,5,2,5,0,0,0,10
258000,259000,7,1,7,3,7,0,0,0,7
258500,259500,5,2,8,6,6,0,0,0,5
259000,260000,5,2,3,6,3,0,0,0,5
259500,260500,3,2,1,4,3,0,0,0,3
260000,261000,1,2,1,2,3,0,0,0,1
260500,261500,2,2,1,3,3,0,0,0,2
261000,262000,9,2,2,3,3,0,0,0,9
261500,262500,11,8,8,8,6,0,0,0,11
262000,263000,6,9,8,9,7,0,0,0,6
262500,263500,2,2,1,1,2,0,0,0,2
263000,264000,2,2,1,1,2,0,0,0,2
263500,264500,2,2,1,1,2,0,0,0,2
264000,265000,2,2,1,1,2,0,0,0,2
264500,265500,2,2,1,1,2,0,0,0,2
265000,266000,2,2,1,1,2,0,0,0,2
265500,266500,2,2,1,1,2,0,0,0,2
266000,267000,2,2,1,1,2,0,0,0,2
266500,267500,2,2,1,1,2,0,0,0,2
267000,268000,2,2,1,1,2,0,0,0,2
267500,268500,5,6,7,2,3,0,0,0,5
268000,269000,7,9,11,6,5,0,0,0,7
268500,269500,6,7,7,8,7,0,0,0,6
269000,270000,5,4,5,3,4,0,0,0,5
269500,270500,10,5,9,2,17,0,0,0,10
270000,271000,19,3,17,5,35,0,0,0,19
270500,271500,15,1,14,6,22,0,0,0,15
271000,272000,11,5,10,10,12,0,0,0,11
271500,272500,10,7,9,10,11,0,0,0,10
272000,273000,2,7,6,7,9,0,0,0,2
272500,273500,0,4,4,5,8,0,0,0,0
273000,274000,0,1,7,9,1,0,0,0,0
273500,274500,5,5,8,9,3,0,0,0,5
274000,275000,5,9,6,1,3,0,0,0,5
274500,275500,5,8,7,2,1,0,0,0,5
275000,276000,6,5,7,3,2,0,0,0,6
275500,276500,6,6,7,6,6,0,0,0,6
276000,277000,7,7,5,9,9,0,0,0,7
276500,277500,5,7,5,7,7,0,0,0,5
277000,278000,5,7,6,5,7,0,0,0,5
277500,278500,4,4,5,3,5,0,0,0,4
278000,279000,2,1,7,2,1,0,0,0,2
278500,279500,1,9,19,7,3,0,0,0,1
279000,280000,1,11,14,6,4,0,0,0,1
279500,280500,0,5,2,1,3,0,0,0,0
280000,281000,2,6,4,4,4,0,0,0,2
280500,281500,7,5,6,6,4,0,0,0,7
281000,282000,7,3,7,4,5,0,0,0,7
281500,282500,5,6,7,3,5,0,0,0,5
282000,283000,5,6,3,2,2,0,0,0,5
282500,283500,4,3,2,0,1,0,0,0,4
