fromPos,toPos,AggregateDist,03-2454_S25_L001,03-2525_S26_L001,03-2592_S27_L001,06-283016_S28_L001,06-284001_S29_L001,06-286011_S30_L001,06-2909_S23_L001,06-2950_S32_L001,06-299002_S31_L001,06-310013_S24_L001,31315_S10_L001,31316_S11_L001,31642_S12_L001,A_S9_L001,B_S10_L001,C_S11_L001,D_S12_L001,E_S13_L001,F_S14_L001,G_S15_L001,H_S16_L001,I_S17_L001,J_S18_L001,K_S19_L001,L_S20_L001,M_S21_L001,N_S22_L001,TG77198_S1_L001,TG77202_S2_L001,TG77206_S3_L001,TG77210_S16_L001,TG77214_S5_L001,TG77218_S6_L001,TG77222_S7_L001,TG77226_S8_L001
150000,155000,105,47,22,32,28,62,62,26,32,47,23,47,47,47,0,0,0,0,39,39,0,47,47,0,0,32,0,32,33,0,0,0,0,0,0,47
152500,157500,112,54,34,39,38,55,55,36,39,54,33,50,50,50,0,0,0,0,37,37,0,54,50,0,0,41,0,41,45,0,0,0,0,0,0,54
155000,160000,186,81,71,68,98,87,87,71,69,81,69,73,73,73,0,1,0,1,60,60,1,81,73,1,1,64,0,64,84,1,1,1,1,1,1,82
157500,162500,219,83,75,64,121,114,114,67,65,83,70,66,66,66,0,1,0,1,61,61,1,83,66,1,1,50,0,50,82,1,1,1,1,1,1,84
160000,165000,181,40,72,54,79,80,80,54,54,40,42,41,41,41,0,1,0,1,44,44,1,40,41,1,1,39,0,39,41,1,1,1,1,1,1,40
162500,167500,95,14,53,42,38,25,25,42,42,14,20,29,29,29,0,1,0,1,25,25,1,15,29,1,1,31,0,31,23,1,1,1,1,1,1,16
165000,170000,67,27,38,34,28,26,26,34,34,27,45,38,38,38,0,0,0,0,25,25,0,28,38,0,0,36,0,36,40,0,0,0,0,0,0,29
167500,172500,132,50,59,51,62,51,51,62,51,50,82,59,59,59,0,0,0,0,59,59,0,50,59,0,0,54,0,54,62,0,0,0,0,0,0,51
170000,175000,128,55,52,42,75,48,48,55,42,55,54,52,52,52,0,0,0,0,58,58,0,55,52,0,0,49,0,49,47,0,0,0,0,0,0,57
172500,177500,46,25,22,15,34,18,18,19,15,25,14,23,23,23,0,0,0,0,19,19,0,25,23,0,0,25,0,25,15,0,0,0,0,0,0,26
175000,180000,27,7,14,7,6,10,10,5,7,7,6,12,12,12,0,0,0,0,4,4,0,7,12,0,0,7,0,7,5,0,0,0,0,0,0,7
177500,182500,77,27,29,30,23,26,26,20,30,27,21,26,26,26,0,0,0,0,23,23,0,27,26,0,0,28,0,28,22,0,0,0,0,0,0,27
180000,185000,99,37,31,42,27,29,29,31,42,37,27,31,31,31,0,0,0,0,35,35,0,37,31,0,0,42,0,42,35,0,0,0,0,0,0,37
182500,187500,103,40,38,35,25,26,26,29,35,40,31,38,38,38,0,0,0,0,45,45,0,40,38,0,0,40,1,40,34,0,0,0,0,0,0,40
185000,190000,97,34,34,26,25,33,33,25,26,34,34,34,34,34,0,0,0,0,38,38,0,34,34,0,0,24,1,24,26,0,0,0,0,0,0,34
187500,192500,102,30,36,32,36,39,39,36,32,30,40,35,35,35,0,0,0,0,30,30,0,30,35,0,0,26,0,26,30,0,0,0,0,0,0,30
190000,195000,107,35,39,35,40,34,34,39,35,36,43,38,38,38,0,0,0,0,37,37,0,35,38,0,0,37,0,37,28,0,0,0,0,0,0,35
192500,197500,82,21,28,27,28,33,33,28,27,22,32,27,27,27,0,0,0,0,26,26,0,21,27,0,0,26,0,26,20,0,0,0,0,0,0,21
195000,200000,55,8,20,20,19,22,22,18,20,8,20,19,19,19,0,0,0,0,19,19,0,8,19,0,0,18,0,18,20,0,0,0,0,0,0,8
197500,202500,66,19,32,35,26,32,32,28,35,18,27,32,32,32,0,0,0,0,32,32,0,18,32,0,0,28,0,28,35,0,0,0,0,0,0,18
200000,205000,108,33,51,52,37,53,53,41,52,32,37,52,52,52,0,0,0,0,52,52,0,32,52,0,0,44,0,44,52,0,0,0,0,0,0,32
202500,207500,105,26,46,37,28,36,36,31,37,26,39,47,47,47,0,0,0,0,47,47,0,26,47,0,0,40,0,40,40,0,0,0,0,0,0,26
205000,210000,68,21,34,21,22,19,19,29,21,21,35,34,34,34,0,0,0,0,27,27,0,21,34,0,0,26,0,26,25,0,0,0,0,0,0,21
207500,212500,51,15,24,16,20,15,15,23,17,15,25,24,24,24,0,0,0,0,19,19,0,15,24,0,0,20,0,20,19,0,0,0,0,0,0,15
210000,215000,55,16,23,23,20,16,16,10,24,16,21,23,23,23,0,0,0,0,19,19,0,16,23,0,0,20,0,20,22,0,0,0,0,0,0,16
212500,217500,101,25,32,36,44,27,27,24,36,25,17,32,32,32,0,0,0,0,23,23,0,25,32,0,0,36,0,36,51,0,0,0,0,0,0,25
215000,220000,122,41,38,33,55,36,36,40,33,41,29,38,38,38,0,0,0,0,29,29,0,41,38,0,0,50,0,50,57,0,0,0,0,0,0,41
217500,222500,117,50,53,28,40,40,40,56,28,49,36,53,53,53,0,0,0,0,27,27,0,49,53,0,0,43,0,43,50,0,0,0,0,0,0,49
220000,225000,149,49,87,64,72,66,66,64,64,48,55,88,88,88,0,0,0,0,62,62,0,48,88,0,0,69,0,69,60,0,0,0,0,0,0,48
222500,227500,161,55,82,78,83,69,69,50,78,55,55,83,83,83,0,0,0,0,83,83,0,55,83,0,0,79,0,79,60,0,0,1,1,0,1,55
225000,230000,155,37,50,67,58,38,38,33,67,37,24,49,49,49,0,0,0,0,54,54,0,37,49,0,0,55,0,55,59,0,0,1,1,0,1,37
227500,232500,97,16,27,47,37,18,18,18,47,16,17,26,26,26,0,0,0,0,30,30,0,16,26,0,0,33,0,33,39,0,0,0,0,0,0,16
230000,235000,79,32,31,50,31,34,34,25,50,32,34,30,30,30,0,0,0,0,33,33,0,32,30,0,0,36,0,36,36,0,0,0,0,0,0,32
232500,237500,95,38,40,58,33,44,44,27,57,38,42,38,38,38,0,0,0,0,37,37,0,38,38,0,0,44,0,44,38,0,0,0,0,0,0,38
235000,240000,69,19,27,37,17,21,21,13,36,19,29,26,26,26,0,0,0,0,25,25,0,19,26,0,0,24,0,24,26,0,0,0,0,0,0,19
237500,242500,59,20,20,29,13,11,10,12,29,20,27,20,20,20,0,0,0,0,15,15,0,20,20,0,0,19,0,19,28,0,0,0,0,0,0,20
240000,245000,65,30,25,31,21,10,9,27,31,30,36,25,25,25,0,0,0,0,19,19,0,30,25,0,0,30,0,30,31,0,0,0,0,0,0,31
242500,247500,53,23,22,25,21,9,9,23,25,23,30,21,21,21,0,0,0,0,25,25,0,23,21,0,0,26,0,26,24,0,0,0,0,0,0,24
245000,250000,48,16,18,18,17,17,17,12,18,16,16,18,18,18,0,0,0,0,22,22,0,16,18,0,0,20,0,20,19,0,0,0,0,0,0,16
247500,252500,61,23,21,18,18,24,24,20,18,23,18,22,22,22,0,0,0,0,23,23,0,23,22,0,0,23,0,23,17,0,0,0,0,0,0,23
250000,255000,61,27,20,9,23,27,27,26,9,26,24,19,19,19,0,0,0,0,21,21,0,26,19,0,0,25,0,25,9,0,0,0,0,0,0,26
252500,257500,69,26,26,16,39,38,38,21,16,25,37,25,25,25,0,0,0,0,25,25,0,25,25,0,0,31,0,31,16,0,0,0,0,0,0,25
255000,260000,69,30,19,26,34,35,35,13,26,30,35,19,19,19,0,0,0,0,25,25,0,30,19,0,0,23,0,23,25,0,0,0,0,0,0,30
257500,262500,79,31,16,23,23,23,23,13,23,31,28,16,16,16,0,0,0,0,29,29,0,31,16,0,0,26,0,26,22,0,0,0,0,0,0,31
260000,265000,51,16,13,11,14,13,13,9,11,16,18,13,13,13,0,0,0,0,19,19,0,16,13,0,0,20,0,20,12,0,0,0,0,0,0,16
262500,267500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265000,270000,30,14,15,17,10,11,11,7,17,14,16,13,13,13,0,0,0,0,9,9,0,14,13,0,0,14,0,14,16,0,0,0,0,0,0,14
267500,272500,100,44,24,45,27,58,58,16,45,44,54,22,22,22,0,0,0,0,45,45,0,44,22,0,0,26,0,26,24,0,0,0,0,0,0,44
270000,275000,114,37,25,46,32,60,60,20,46,37,45,26,26,26,0,0,0,0,47,47,0,37,26,0,0,24,0,24,28,0,0,0,0,0,0,37
272500,277500,84,21,30,31,29,25,25,24,31,21,24,31,31,31,0,0,0,0,24,24,0,21,31,0,0,26,0,26,39,0,0,0,0,0,0,21
275000,280000,84,21,31,39,25,23,24,23,39,21,33,31,31,31,0,0,0,0,22,22,0,21,31,0,0,24,0,24,37,0,0,0,0,0,0,21
277500,282500,90,17,29,39,20,20,21,18,39,17,29,30,30,30,0,0,0,0,38,38,0,17,30,0,0,26,0,26,44,0,0,0,0,0,0,17
280000,285000,102,23,30,28,20,21,21,22,28,23,20,31,31,31,0,0,0,0,61,61,0,23,31,0,0,26,0,26,46,0,0,0,0,0,0,23
282500,287500,94,32,28,32,30,29,29,17,32,31,26,28,28,28,0,0,0,0,55,55,0,32,28,0,0,21,0,21,30,0,0,0,0,0,0,31
285000,290000,68,22,19,24,24,24,24,6,24,21,26,19,19,19,0,0,0,0,32,32,0,24,18,0,0,19,1,19,19,0,0,0,0,0,0,22
287500,292500,54,10,16,12,14,17,17,5,12,11,11,16,16,16,0,0,0,0,18,18,0,12,15,0,0,10,1,10,13,0,0,0,0,0,0,11
290000,295000,215,27,37,33,39,24,24,31,33,28,38,36,36,36,0,0,0,0,50,50,0,27,37,0,0,155,0,155,28,0,0,0,0,0,0,27
292500,297500,245,34,33,37,40,23,23,44,37,34,48,32,32,32,0,0,0,0,54,54,0,33,33,0,0,187,0,187,33,0,0,0,0,0,0,33
295000,300000,81,25,9,19,21,22,22,19,19,25,23,9,9,9,0,0,0,0,23,23,0,24,9,0,0,43,0,43,18,0,0,0,0,0,0,24
297500,302500,26,9,6,11,10,11,11,3,11,9,10,6,6,6,0,0,0,0,12,12,0,9,6,0,0,9,0,9,9,0,0,0,0,0,0,9
300000,305000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302500,307500,3,0,3,3,0,0,0,0,3,0,3,3,3,3,0,0,0,0,2,2,0,0,3,0,0,2,0,2,2,0,0,0,0,0,0,0
305000,310000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
307500,312500,2,1,2,1,0,0,0,0,1,1,1,2,2,2,0,0,0,0,0,0,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,1
310000,315000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312500,317500,8,5,6,4,4,4,4,5,4,5,4,6,6,6,0,0,0,0,6,6,0,5,6,0,0,5,0,5,4,0,0,0,0,0,0,5
315000,320000,46,17,23,21,24,17,17,20,21,17,23,23,23,23,0,0,0,0,26,26,0,17,23,0,0,17,0,17,19,0,0,0,0,0,0,17
317500,322500,81,27,31,38,39,30,30,27,38,27,39,31,31,31,0,0,0,0,33,33,0,27,31,0,0,23,1,23,28,0,0,0,0,0,0,27
320000,325000,92,34,34,36,33,31,31,22,36,35,34,34,34,34,0,0,0,0,34,34,0,34,34,0,0,26,1,26,27,0,0,0,0,0,0,34
322500,327500,102,26,50,28,37,18,18,49,28,27,37,50,50,50,1,0,0,0,45,45,0,28,50,0,0,35,0,35,42,0,0,0,0,0,0,26
325000,330000,198,22,150,29,41,14,14,47,29,23,41,150,150,150,1,0,0,0,45,45,0,24,150,0,0,40,0,40,38,0,0,0,0,0,0,22
327500,332500,205,33,137,42,35,31,31,24,42,33,34,136,136,136,0,0,0,0,39,39,0,33,136,0,0,40,0,40,21,0,0,0,0,0,0,33
330000,335000,108,30,33,47,31,34,34,32,47,30,30,32,32,32,0,0,0,0,35,35,0,30,32,0,0,33,0,33,29,0,0,0,0,0,0,30
332500,337500,130,46,46,52,44,44,44,52,52,46,44,47,47,47,0,0,0,0,42,42,0,46,48,0,0,52,0,52,50,0,0,0,0,0,0,46
335000,340000,140,48,48,55,59,55,55,49,55,49,58,49,49,49,0,0,0,0,49,49,0,48,50,0,0,58,0,58,52,0,0,0,0,0,0,48
337500,342500,124,39,39,41,46,48,48,35,41,40,45,39,39,39,0,0,0,0,42,42,0,39,39,0,0,43,0,43,37,0,0,0,0,0,0,39
340000,345000,122,46,38,36,31,41,40,40,36,46,30,38,38,38,0,0,0,0,39,39,0,46,38,0,0,43,0,43,38,0,0,0,0,0,0,46
342500,347500,178,54,64,65,46,77,76,63,65,54,51,64,64,64,0,0,0,0,50,50,0,54,64,0,0,56,0,56,49,0,0,0,0,0,0,54
345000,350000,238,59,98,94,100,113,112,96,94,59,95,99,99,99,0,0,0,0,81,81,0,59,99,0,0,95,1,95,79,0,0,0,0,0,0,59
347500,352500,195,52,90,68,98,83,82,81,68,52,83,91,91,91,0,0,0,0,87,87,0,52,91,0,0,97,1,97,77,0,0,0,0,0,0,52
350000,355000,158,60,71,59,61,65,65,61,59,60,66,71,71,71,0,0,0,0,62,62,0,60,71,0,0,63,0,63,53,0,0,0,0,0,0,60
352500,357500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
355000,360000,87,34,34,42,31,34,34,31,42,34,40,34,34,34,0,0,0,0,28,28,0,34,34,0,0,31,0,31,27,0,0,0,0,0,0,34
357500,362500,26,9,5,11,4,6,6,5,11,9,7,5,5,5,0,0,0,0,6,6,0,9,5,0,0,13,0,13,8,0,0,0,0,0,0,9
360000,365000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
362500,367500,46,17,14,15,13,14,14,13,15,17,16,14,14,14,0,0,0,0,12,12,0,17,14,0,0,19,0,19,17,0,0,0,0,0,0,17
365000,370000,213,62,74,81,86,67,67,73,82,62,61,73,73,73,0,0,0,0,70,70,0,62,73,0,0,82,0,82,62,0,0,0,0,0,0,62
367500,372500,278,95,93,99,118,96,96,104,100,95,85,92,92,92,0,1,0,1,88,88,1,95,92,1,1,103,0,103,80,1,1,1,1,1,1,95
370000,375000,165,71,58,49,71,60,60,70,49,71,61,58,58,58,0,1,1,1,59,59,1,71,58,1,1,58,0,58,54,1,1,1,1,1,1,71
372500,377500,100,37,38,32,41,31,31,43,32,37,34,37,37,37,0,0,1,0,44,44,0,37,37,0,0,31,0,31,32,0,0,0,0,0,0,37
375000,380000,84,33,21,35,39,32,32,46,35,33,24,20,20,20,0,0,0,0,38,38,0,33,20,0,0,22,0,22,16,0,0,0,0,0,0,33
377500,382500,161,45,28,43,62,94,94,49,43,45,40,28,28,28,0,0,0,0,51,51,0,45,28,0,0,29,0,29,20,0,0,0,0,0,0,45
380000,385000,142,34,26,30,52,80,80,29,30,34,37,26,26,26,0,0,0,0,39,39,0,34,26,0,0,30,0,30,21,0,0,0,0,0,0,34
382500,387500,122,50,36,38,55,33,33,51,38,50,43,36,36,36,0,0,0,0,45,45,0,50,36,0,0,47,0,47,37,0,0,0,0,0,0,50
385000,390000,137,53,49,43,54,56,56,56,43,53,46,49,49,49,0,0,0,0,49,49,0,53,49,0,0,53,0,53,42,0,0,0,0,0,0,53
387500,392500,77,25,31,26,31,41,41,25,26,25,25,31,31,31,0,0,0,0,30,30,0,25,31,0,0,31,0,31,21,0,0,0,0,0,0,25
390000,395000,60,27,28,30,32,28,28,25,30,27,9,28,28,28,0,0,0,0,35,35,0,27,28,0,0,18,0,18,22,0,0,0,0,0,0,27
392500,397500,41,20,21,23,21,20,20,20,23,20,2,21,21,21,0,0,0,0,25,25,0,20,21,0,0,11,0,11,19,0,0,0,0,0,0,20
395000,400000,57,14,21,21,19,21,21,18,21,14,11,21,21,21,0,0,0,0,11,11,0,14,21,0,0,13,0,13,13,0,0,0,0,0,0,14
397500,402500,93,28,34,32,30,39,39,28,32,28,31,33,33,33,0,0,0,0,27,27,0,28,33,0,0,30,0,30,30,0,0,0,0,0,0,28
400000,405000,85,28,28,28,37,28,28,27,28,28,45,27,27,27,0,0,0,0,37,37,0,28,27,0,0,37,0,37,32,0,0,0,0,0,0,28
402500,407500,129,43,49,62,58,49,49,32,62,43,70,49,49,49,0,0,0,0,53,53,0,43,49,0,0,53,0,53,35,0,0,0,0,0,0,43
405000,410000,131,58,50,73,44,62,62,31,73,58,67,50,50,50,0,0,0,0,54,54,0,58,50,0,0,38,0,38,33,0,0,0,0,0,0,58
407500,412500,59,28,21,32,8,25,25,15,32,28,25,21,21,21,0,0,0,0,25,25,0,28,21,0,0,7,0,7,15,0,0,0,0,0,0,28
410000,415000,27,2,7,9,2,6,6,4,9,2,6,7,7,7,0,0,0,0,10,10,0,2,7,0,0,4,0,4,5,0,0,0,0,0,0,2
412500,417500,39,12,11,15,11,17,17,10,15,12,16,11,11,11,0,0,0,0,20,20,0,12,11,0,0,13,0,13,11,0,0,0,0,0,0,12
415000,420000,45,13,17,20,14,18,18,9,20,13,19,16,16,16,0,0,0,0,24,24,0,13,16,0,0,16,0,16,15,0,0,0,0,0,0,13
417500,422500,42,9,19,18,12,14,14,11,18,9,17,18,18,18,0,0,0,0,19,19,0,9,18,0,0,10,0,10,23,0,0,0,0,0,0,9
420000,425000,74,24,32,30,28,30,30,26,30,24,33,33,33,33,0,0,0,0,31,31,0,24,33,0,0,18,0,18,34,0,0,0,0,0,0,24
422500,427500,90,26,30,35,32,34,34,21,35,26,32,30,30,30,1,0,1,0,37,37,0,26,31,0,0,25,0,25,31,0,0,0,0,0,0,26
